dataset,method,latent_dim,K,n_samples,n_features,inertia,silhouette,davies_bouldin,calinski_harabasz,autoencoder_time,kmeans_time,total_time
iris,Autoencoder + KMeans++,2,2,150,4,311.6734619140625,0.50032896,0.6403664965229601,185.28787,1.3347923755645752,0.021544933319091797,1.356337308883667
iris,Autoencoder + KMeans++,2,3,150,4,174.1663360595703,0.4889977,0.7691507143011291,222.69708,1.3347923755645752,0.01690840721130371,1.351700782775879
iris,Autoencoder + KMeans++,2,4,150,4,135.90579223632812,0.4644286,0.8211166452389976,202.66733,1.3347923755645752,0.017856121063232422,1.3526484966278076
iris,Autoencoder + KMeans++,2,5,150,4,109.5757827758789,0.457052,0.8895260972074984,195.94402,1.3347923755645752,0.01998138427734375,1.354773759841919
iris,Autoencoder + KMeans++,2,6,150,4,89.43516540527344,0.43231314,0.8565183980842542,197.21733,1.3347923755645752,0.02233743667602539,1.3571298122406006
iris,Autoencoder + KMeans++,2,7,150,4,71.64921569824219,0.45317882,0.6910139322722323,209.63661,1.3347923755645752,0.026969194412231445,1.3617615699768066
iris,Autoencoder + KMeans++,3,2,150,4,350.0948486328125,0.5509149,0.6575578590483763,196.00752,1.144775390625,0.016303539276123047,1.161078929901123
iris,Autoencoder + KMeans++,3,3,150,4,235.3690185546875,0.47877166,0.8057850697298073,180.61479,1.144775390625,0.01844310760498047,1.1632184982299805
iris,Autoencoder + KMeans++,3,4,150,4,181.04202270507812,0.45841908,0.7669846271320822,170.08133,1.144775390625,0.0187380313873291,1.163513422012329
iris,Autoencoder + KMeans++,3,5,150,4,137.65756225585938,0.43999624,0.7934802340709386,178.03894,1.144775390625,0.021425485610961914,1.166200876235962
iris,Autoencoder + KMeans++,3,6,150,4,114.42213439941406,0.44749913,0.7389466921504861,176.02095,1.144775390625,0.02200031280517578,1.1667757034301758
iris,Autoencoder + KMeans++,3,7,150,4,91.66249084472656,0.4584501,0.6971986975506879,187.75172,1.144775390625,0.02155017852783203,1.166325569152832
iris,Autoencoder + KMeans++,4,2,150,4,327.7090148925781,0.6122341,0.5748197900749323,270.1362,0.9637265205383301,0.01729273796081543,0.9810192584991455
iris,Autoencoder + KMeans++,4,3,150,4,224.57476806640625,0.4779694,0.7830809950369062,229.51968,0.9637265205383301,0.015717744827270508,0.9794442653656006
iris,Autoencoder + KMeans++,4,4,150,4,160.02316284179688,0.47170573,0.7470730541623873,232.90779,0.9637265205383301,0.01868152618408203,0.9824080467224121
iris,Autoencoder + KMeans++,4,5,150,4,130.09442138671875,0.41266614,0.8095507387920554,221.73462,0.9637265205383301,0.020203113555908203,0.9839296340942383
iris,Autoencoder + KMeans++,4,6,150,4,109.1131591796875,0.40898055,0.7716942525807271,215.57669,0.9637265205383301,0.019481182098388672,0.9832077026367188
iris,Autoencoder + KMeans++,4,7,150,4,88.19124603271484,0.41264302,0.7962627795997935,226.37611,0.9637265205383301,0.022433996200561523,0.9861605167388916
iris,Autoencoder + KMeans++,5,2,150,4,356.48223876953125,0.5344868,0.6790997414861664,172.39215,0.9427855014801025,0.017752885818481445,0.960538387298584
iris,Autoencoder + KMeans++,5,3,150,4,214.24835205078125,0.50206465,0.7629541335890329,191.24506,0.9427855014801025,0.01598525047302246,0.958770751953125
iris,Autoencoder + KMeans++,5,4,150,4,174.7574462890625,0.46593496,0.7566964679404262,166.242,0.9427855014801025,0.01741194725036621,0.9601974487304688
iris,Autoencoder + KMeans++,5,5,150,4,139.99755859375,0.4066921,0.8299507920899794,163.57307,0.9427855014801025,0.01990509033203125,0.9626905918121338
iris,Autoencoder + KMeans++,5,6,150,4,112.01752471923828,0.4210611,0.8268127977220155,169.61046,0.9427855014801025,0.02095317840576172,0.9637386798858643
iris,Autoencoder + KMeans++,5,7,150,4,86.44192504882812,0.4403819,0.7409501588679731,188.94058,0.9427855014801025,0.022481918334960938,0.9652674198150635
